This fits B3 to B7 into the virial expansion since maxPower is set to 5.
Number of particles: 108
dryVolFracMax: 0.003
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 52.648203563095535
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, rho, mu/kT, Z_measured, Z_virial_Fit, <F_total>/V, QMelting, <F_id>/V, <F_ex>/V, <F_FR>/V, <alpha>, Zeta, B2_rho, B2_phi0, B2_HS, B2*
2.0E-4, 0.06876052915573498, 4.774648292756861E-5, -9.0058077234069, 1.1577508581748437, 1.1354609568006024, -4.894864918925987E-4, 1.5004905305692195, -5.213638970822166E-4, 7.464821578767561E-6, 2.441258361085035E-5, 7.006087705761312, 0.06875648901040608, 4067.9714044343486, 971.1566360583095, 5762.0272765657555, 0.70599655454233
3.0E-4, 0.10313955471215659, 7.161972439135293E-5, -8.320018799806045, 1.2391768593213146, 1.2063277843550755, -6.949905412640134E-4, 1.500697678275063, -7.530065463303081E-4, 1.6049179464397456E-5, 4.19668256018973E-5, 7.007424619341567, 0.10313473351560913, 4070.3006205238266, 971.7126954395638, 5765.3264655979, 0.70599655454233
4.0E-4, 0.13752028817497075, 9.549296585513724E-5, -8.000779714450179, 1.3386381159769682, 1.3047703794697068, -8.873739637458832E-4, 1.5008927877876075, -9.765371141186377E-4, 2.8295200060714078E-5, 6.086795031204038E-5, 7.00849817901235, 0.13751297802081217, 4072.1716560265704, 972.159372263007, 5767.9766704618, 0.7059965545423299
5.0E-4, 0.17190770867682462, 1.1936620731892148E-4, -7.619359630684147, 1.4503481458753338, 1.4377441924672858, -0.00107711568995119, 1.5010854420365862, -0.0011940355932402447, 4.513940934917591E-5, 7.178049393987886E-5, 7.009671841563788, 0.1718912225260152, 4074.2178101365093, 972.6478555743939, 5770.8749198891865, 0.7059965545423298
6.0E-4, 0.20627300510090177, 1.4323944878270585E-4, -7.108520182900174, 1.4281006357634936, 1.6051137928995969, -0.0012510540957940274, 1.5012594748641441, -0.001406727072591923, 6.769140599474389E-5, 8.798157080315176E-5, 7.01100611111112, 0.20626946703121826, 4076.544797627943, 973.2033829170558, 5774.170952251472, 0.7059965545423298
7.0E-4, 0.2406366961856845, 1.6711269024649017E-4, -5.53387128251306, 1.8410368625175975, 1.8020646000995841, -0.0014162413437424732, 1.5014354292320808, -0.0016154210498813184, 9.709936586251196E-5, 1.0208034027633312E-4, 7.013685308641974, 0.24064771153642134, 4081.2200365947024, 974.3195140045993, 5780.793136080386, 0.7059965545423299
8.0E-4, 0.27501871036043246, 1.9098593171027449E-4, -4.822729132156288, 2.404742217561708, 2.0195598671425277, -0.001514987408892458, 1.50155662597865, -0.0018206928681456847, 1.3418283039303268E-4, 1.7152262886019402E-4, 7.015025771604939, 0.2750259560416244, 4083.5605051355087, 974.8782597107299, 5784.108263506643, 0.7059965545423299
9.0E-4, 0.3093742209261069, 2.148591731740588E-4, -5.914503141814866, 2.4550969810585532, 2.248617796027035, -0.0016461892427091101, 1.5016959098764646, -0.0020229727110088343, 1.7977085347573932E-4, 1.9701261482398485E-4, 7.017457654320989, 0.30940420054682743, 4087.808892924943, 975.8924875860195, 5790.125839317885, 0.7059965545423299
0.001, 0.3437354048943202, 2.38732414637843E-4, -2.7188550511327327, 2.176682425724122, 2.4794405078789827, -0.0017969649260915716, 1.5018370165635313, -0.0022225944863660013, 2.3426683312344971E-4, 1.9136272715098007E-4, 7.020175318930036, 0.3437824450520305, 4092.5600137628426, 977.0267341358874, 5796.85550507522, 0.7059965545423298
0.0011, 0.37809164950515817, 2.626056561016274E-4, -3.387126857418446, 3.1363379808492735, 2.7038788776872256, -0.0017755155187863863, 1.5018589323259923, -0.0024198249427019227, 2.978316086038498E-4, 3.464778153116865E-4, 7.022995555555548, 0.3781606895572336, 4097.494345686536, 978.2047191106553, 5803.844677886256, 0.70599655454233
0.0012, 0.4124549024521281, 2.864788975654117E-4, -4.3398874279994475, 2.5369066096856825, 2.916707040827559, -0.0019580569276562137, 1.5020221684181276, -0.00261488210504646, 3.704695817461983E-4, 2.8635559564404805E-4, 7.026248199588482, 0.41253893406243664, 4103.190147710265, 979.5644916810792, 5811.912425507804, 0.7059965545423298
0.0013, 0.4467719062441951, 3.10352139029196E-4, 1.302222187732875, 2.7121738342022113, 3.1165573568561706, -0.001981770877619752, 1.5020605960738864, -0.002807947521593494, 4.52106938696816E-4, 3.74069705276926E-4, 7.030408137860086, 0.4469171785676397, 4110.482428769374, 981.3053955465381, 5822.241485914956, 0.7059965545423299
0.0014, 0.4810833361218619, 3.342253804929803E-4, 3.9082006374513947, 3.214141905906481, 3.3055639729482342, -0.0018946991870054857, 1.5020076179471171, -0.002999174719602353, 5.423110473769166E-4, 5.621644852199504E-4, 7.033978106995883, 0.48129542307284273, 4116.747391414779, 982.8010452064915, 5831.1154139888195, 0.70599655454233
0.0015, 0.5153946024285333, 3.580986219567647E-4, 0.9486210990606923, 3.2666040337503124, 3.4932665896993256, -0.0017934240273226412, 1.5019160758640195, -0.003188695233083918, 6.414471946674891E-4, 7.538240110937879E-4, 7.039272417695479, 0.5156736675780458, 4126.050128097254, 985.0219099974389, 5844.292159148017, 0.7059965545423299
0.0016, 0.5497013674049174, 3.8197186342054886E-4, -1.3641807514463546, 2.4684318994219634, 3.6937967049317573, -0.0018465079640755135, 1.501932416841929, -0.0033766230161081877, 7.498153674993584E-4, 7.802996845333158E-4, 7.046260679012345, 0.5500519120832489, 4138.350781870347, 987.9584747743136, 5861.715266518659, 0.7059965545423298
0.0017, 0.584018613991284, 4.0584510488433315E-4, 12.974663027797114, 4.232982098791461, 3.924844568928191, -0.0018552660024743943, 1.5020602930022116, -0.0035630577486152858, 8.671174132399845E-4, 8.406743329009072E-4, 7.051354218107001, 0.5844301565884519, 4147.331754937854, 990.102524160517, 5874.436253625072, 0.7059965545423301
0.0018, 0.6182653678207862, 4.297183463481176E-4, 17.025184754201742, 5.897483940866606, 4.216169137674463, -0.0012226095155762268, 1.5015597653977235, -0.003748087361811589, 9.959117079374397E-4, 0.0015295661382979226, 7.059407006172838, 0.618808401093655, 4161.556996440607, 993.4985504132754, 5894.585419242425, 0.7059965545423298
0.0019, 0.6524911202221199, 4.535915878119019E-4, 13.165395942709619, 4.781378002912023, 4.598227437901517, -0.0010364051780608207, 1.5013115426484436, -0.003931790000723226, 0.0011373277494331102, 0.0017580570732292952, 7.067281851851851, 0.6531866455988581, 4175.499324654011, 996.8270360933348, 5914.33385586538, 0.7059965545423298
0.002, 0.6867679202160083, 4.7746482927568624E-4, 8.023388174001798, 5.700838188522057, 5.106156361234101, -5.888984927761283E-4, 1.5009478656410278, -0.004114235572503025, 0.0012925648554881167, 0.00223277222423878, 7.070820072016464, 0.687564890104061, 4181.773830443932, 998.3249640112217, 5923.221301207076, 0.7059965545423299
0.0021, 0.7209787870117909, 5.013380707394704E-4, 5.563760372438967, 5.629809251441829, 5.786517452240865, -6.49522338852275E-4, 1.5009825498861233, -0.0042954869843524115, 0.0014664529416252771, 0.0021795117038748593, 7.073049341563792, 0.721943134609264, 4185.730333527789, 999.269509545953, 5928.825440573482, 0.7059965545423298
0.0022, 0.755179616784721, 5.252113122032547E-4, 28.191589415771094, 6.819701338795624, 6.69679099546633, -3.157312181168272E-4, 1.500760559904351, -0.0044756011451519695, 0.001668301756311059, 0.0024915681707240833, 7.082532129629632, 0.756321379114467, 4202.588253287231, 1003.2940414358957, 5952.703630418715, 0.7059965545423298
0.0023, 0.7892545232852768, 5.490845536670391E-4, 47.66447362512364, 7.701707557753717, 7.885163307971467, 7.084033733295394E-4, 1.4998422941522465, -0.004654629784629776, 0.001902011392928669, 0.003461021765030646, 7.092155257201644, 0.79069962361967, 4219.741871300013, 1007.3891660838624, 5977.000658360872, 0.7059965545423299
0.0024, 0.8231637468927239, 5.729577951308231E-4, 91.39366527923553, 8.860731414593094, 9.416596969941246, 0.001977612429747459, 1.498674211645829, -0.004832620129818146, 0.0021799841068956835, 0.0046302484526699215, 7.108825956790122, 0.8250778681248729, 4249.568431904082, 1014.5097329172136, 6019.2481175193725, 0.7059965545423299
0.0025, 0.8566501751173388, 5.968310365946075E-4, 170.97831247972283, 10.461132764175014, 11.356829956446092, 0.005102439415744552, 1.495743583680466, -0.005009615468588517, 0.0025158634249103926, 0.0075961914594226765, 7.136482397119339, 0.8594561126300759, 4299.359676395148, 1026.396516942389, 6089.774303760246, 0.7059965545423297
0.0026, 0.8895243126293205, 6.207042780583919E-4, 355.03753187721543, 13.163692592909145, 13.772400716617568, 0.01019061235254844, 1.4909799091803322, -0.005185655622889315, 0.0029251549691027287, 0.012451113006335026, 7.177701738683134, 0.8938343571352789, 4374.288324226682, 1044.2844139647596, 6195.906050933015, 0.7059965545423298
0.0027, 0.9207662211781936, 6.445775195221761E-4, 704.0040722673247, 16.766989009529745, 16.7367394755898, 0.022133519807549143, 1.4796183606209128, -0.005360777349080229, 0.003430011272796867, 0.02406428588383251, 7.240115452674895, 0.9282126016404819, 4489.393330861097, 1071.7637101354985, 6358.945099627852, 0.70599655454233
0.0028, 0.948456096242662, 6.684507609859605E-4, 1093.0716264295438, 21.127733041250966, 20.320081585572566, 0.04392806515664735, 1.458674432011329, -0.005535014678884134, 0.004054349148025965, 0.04540873068750552, 7.328095473251032, 0.9625908461456849, 4655.052022165517, 1111.3118095163477, 6593.590283430216, 0.7059965545423299
0.0029, 0.9675780342222478, 6.923240024497446E-4, 1604.0205069462804, 26.274918410580725, 24.557415580246527, 0.0744843751149295, 1.4296071464044804, -0.005708399211575585, 0.0048026132976243495, 0.07539016102888073, 7.42080822016461, 0.9969690906508879, 4833.979522247572, 1154.0276036560497, 6847.029905664698, 0.7059965545423301
